"86717696","86717951","PT","Portugal","Santarem","Marinhais"
"86717952","86718207","PT","Portugal","Leiria","Leiria"
"86718208","86718463","PT","Portugal","Santarem","Alcanede"
"86718464","86718719","PT","Portugal","Evora","Viana do Alentejo"
"86718720","86718975","PT","Portugal","Leiria","Benedita"
"86718976","86719231","PT","Portugal","Braganca","Braganca"
"86719232","86719487","PT","Portugal","Santarem","Rio Maior"
"86719488","86719743","PT","Portugal","Coimbra","Arazede"
"86719744","86719999","PT","Portugal","Coimbra","Coimbra"
"86720000","86720255","PT","Portugal","Portalegre","Castelo de Vide"
"86720256","86720511","PT","Portugal","Viseu","Sao Pedro do Sul"
"86720512","86725887","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Zenica"
"86725888","86726143","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Lokvine"
"86726144","86727679","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Zenica"
"86727680","86727935","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Tuzla"
"86727936","86730495","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Zenica"
"86730496","86730751","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Sarajevo"
"86730752","86732799","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Zenica"
"86732800","86733567","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Vitez"
"86733568","86733823","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Travnik"
"86733824","86734847","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Vitez"
"86734848","86735103","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Kiseljak"
"86735104","86735359","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Visoko"
"86735360","86735615","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Kiseljak"
"86735616","86735871","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Gromiljak"
"86735872","86736127","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Visoko"
"86736128","86736383","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Fojnica"
"86736384","86736639","BA","Bosnia and Herzegovina","Federacija Bosne i Hercegovine","Kiseljak"
